FISCAL_YEAR,QUARTER,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,PERCENTILE_COMP_50TH,PERCENTILE_COMP_90TH
2025/26,Q1,Fraser,Chilliwack General Hospital,Cone Biopsy,<5,13,4,6.6
2025/26,Q1,Fraser,Chilliwack General Hospital,Cyst/Ganglion Removal,<5,<5,,
2025/26,Q1,Fraser,Chilliwack General Hospital,D&C and Related Surgery,55,58,5,20.8
2025/26,Q1,Fraser,Chilliwack General Hospital,Dental Surgery,38,22,19.1,27
2025/26,Q1,Fraser,Chilliwack General Hospital,Examination Under Anaesthetic,5,<5,,
2025/26,Q1,Fraser,Chilliwack General Hospital,Excision Lesion/Tumour,10,9,3,7.4
2025/26,Q1,Fraser,Chilliwack General Hospital,Facial Bone Reconstruction,<5,<5,,
2025/26,Q1,Fraser,Chilliwack General Hospital,Fallopian Tube/Ovarian Surgery,40,19,4.9,23.3
2025/26,Q1,Fraser,Chilliwack General Hospital,Fistula Repair - Non Vascular,<5,<5,,
2025/26,Q1,Fraser,Chilliwack General Hospital,Foot/Ankle Surgery,<5,<5,,
2025/26,Q1,Fraser,Chilliwack General Hospital,Fracture Repair,<5,<5,,
2025/26,Q1,Fraser,Chilliwack General Hospital,Hernia Repair - Abdominal,58,70,5.6,16.2
2025/26,Q1,Fraser,Chilliwack General Hospital,Hip Replacement,71,41,15.7,34.7
2025/26,Q1,Fraser,Chilliwack General Hospital,Kidney/Bladder Stone Removal,<5,<5,,
2025/26,Q1,Fraser,Chilliwack General Hospital,Knee - ACL Repair,<5,<5,,
2025/26,Q1,Fraser,Chilliwack General Hospital,Knee - Meniscectomy,<5,<5,,
2025/26,Q1,Fraser,Chilliwack General Hospital,Knee Arthroscopy,7,12,1.6,15.5
2025/26,Q1,Fraser,Chilliwack General Hospital,Knee Replacement,111,74,23.1,34.7
2025/26,Q1,Fraser,Chilliwack General Hospital,Laparoscopy,8,6,6.7,24.1
2025/26,Q1,Fraser,Chilliwack General Hospital,Laparotomy,<5,<5,,
2025/26,Q1,Fraser,Chilliwack General Hospital,Male Reproductive Surgery,5,10,3.7,7.8
2025/26,Q1,Fraser,Chilliwack General Hospital,Mastectomy,<5,12,2.1,4.3
2025/26,Q1,Fraser,Chilliwack General Hospital,Myringotomy,<5,11,6.3,9.9
2025/26,Q1,Fraser,Chilliwack General Hospital,Nasal Surgery,43,19,6.6,34.3
2025/26,Q1,Fraser,Chilliwack General Hospital,Nerve Surgery,<5,<5,,
2025/26,Q1,Fraser,Chilliwack General Hospital,Other Eye Surgery,<5,7,1.3,5.3
2025/26,Q1,Fraser,Chilliwack General Hospital,Other Joint Reconstruction,<5,<5,,
2025/26,Q1,Fraser,Chilliwack General Hospital,Other Orthopaedic Surgery,15,22,8,20.6
2025/26,Q1,Fraser,Chilliwack General Hospital,Other Urology Surgery,29,72,3.9,7.6
2025/26,Q1,Fraser,Chilliwack General Hospital,Parotidectomy,<5,0,,
2025/26,Q1,Fraser,Chilliwack General Hospital,Prostate Surgery,13,34,5.4,11.4
2025/26,Q1,Fraser,Chilliwack General Hospital,Rectal Surgery,<5,<5,,
2025/26,Q1,Fraser,Chilliwack General Hospital,Sinus Surgery,10,<5,,
2025/26,Q1,Fraser,Chilliwack General Hospital,Skin Tumour Removal,7,9,4.1,7.7
2025/26,Q1,Fraser,Chilliwack General Hospital,Tonsillectomy/Adenoidectomy,7,6,29.6,50
2025/26,Q1,Fraser,Chilliwack General Hospital,Uterine Surgery,48,67,9.7,26.8
2025/26,Q1,Fraser,Chilliwack General Hospital,Vaginal Repair,7,5,10.6,18.6
2025/26,Q1,Fraser,Chilliwack General Hospital,Varicose Veins Ligation/Stripping,7,0,,
2025/26,Q1,Fraser,Chilliwack General Hospital,Wound/Laceration Care,7,0,,
2025/26,Q1,Fraser,Delta Hospital,All Procedures,723,1224,3.4,13.4
2025/26,Q1,Fraser,Delta Hospital,Appendectomy,<5,<5,,
2025/26,Q1,Fraser,Delta Hospital,Bladder Surgery,28,20,4.4,29.4
2025/26,Q1,Fraser,Delta Hospital,Breast Biopsy,<5,6,3.1,3.4
2025/26,Q1,Fraser,Delta Hospital,Breast Reduction,7,12,3,6
2025/26,Q1,Fraser,Delta Hospital,Cataract Surgery,92,356,2.4,6.6
2025/26,Q1,Fraser,Delta Hospital,Cholecystectomy,20,44,3.8,6.6
2025/26,Q1,Fraser,Delta Hospital,D&C and Related Surgery,82,86,8.2,18
2025/26,Q1,Fraser,Delta Hospital,Excision Lesion/Tumour,8,7,3.6,9.5
2025/26,Q1,Fraser,Delta Hospital,Fallopian Tube/Ovarian Surgery,31,33,18.9,25.9
2025/26,Q1,Fraser,Delta Hospital,Fistula Repair - Non Vascular,<5,<5,,
2025/26,Q1,Fraser,Delta Hospital,Fracture Repair,11,6,0.5,2.5
2025/26,Q1,Fraser,Delta Hospital,Hand/Wrist Surgery,6,17,3,3.3
2025/26,Q1,Fraser,Delta Hospital,Hernia Repair - Abdominal,61,100,3.7,7.3
2025/26,Q1,Fraser,Delta Hospital,Kidney/Bladder Stone Removal,<5,<5,,
2025/26,Q1,Fraser,Delta Hospital,Knee - ACL Repair,42,34,4.1,17.2
2025/26,Q1,Fraser,Delta Hospital,Knee Arthroscopy,27,39,4.1,15.3
2025/26,Q1,Fraser,Delta Hospital,Male Reproductive Surgery,<5,8,6.6,17.4
2025/26,Q1,Fraser,Delta Hospital,Mastectomy,<5,15,3.1,3.9
2025/26,Q1,Fraser,Delta Hospital,Nerve Surgery,<5,5,2.9,3.3
2025/26,Q1,Fraser,Delta Hospital,Other Eye Surgery,87,68,17.5,35
2025/26,Q1,Fraser,Delta Hospital,Other Orthopaedic Surgery,21,30,2.4,6.1
2025/26,Q1,Fraser,Delta Hospital,Other Urology Surgery,<5,9,3,6.1
2025/26,Q1,Fraser,Delta Hospital,Prostate Surgery,<5,0,,
2025/26,Q1,Fraser,Delta Hospital,Rectal Surgery,31,80,4,7.7
2025/26,Q1,Fraser,Delta Hospital,Shoulder Surgery,13,24,2.9,12.5
2025/26,Q1,Fraser,Delta Hospital,Skin Surgery,<5,<5,,
2025/26,Q1,Fraser,Delta Hospital,Skin Tumour Removal,51,144,2.7,6.1
2025/26,Q1,Fraser,Delta Hospital,Sphincterotomy,<5,<5,,
2025/26,Q1,Fraser,Delta Hospital,Uterine Surgery,45,18,12.4,20.2
2025/26,Q1,Fraser,Delta Hospital,Vaginal Repair,26,9,9,28.8
2025/26,Q1,Fraser,Delta Hospital,Varicose Veins Ligation/Stripping,<5,10,4.1,5.1
2025/26,Q1,Fraser,Delta Hospital,Wound/Laceration Care,8,11,3.9,6.7
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Abdominoplasty,10,<5,,
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,All Other Procedures,67,24,16,39.3
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,All Procedures,2552,1604,7.9,36.9
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Biopsy in OR,<5,<5,,
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Bladder Surgery,40,42,5.9,22.3
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Bowel Resection,5,8,1.9,3.2
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Breast Biopsy,<5,<5,,
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Breast Reconstruction,15,15,5.6,29.9
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Breast Reduction,186,39,23.6,51.3
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Cholecystectomy,62,103,6.9,17
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Colostomy/Ileostomy,<5,<5,,
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Cyst/Ganglion Removal,<5,<5,,
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,D&C and Related Surgery,87,48,9.4,22.6
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Dental Surgery,27,44,3.1,7.5
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Examination Under Anaesthetic,63,51,4.6,19.9
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Excision Lesion/Tumour,19,34,3,13.5
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Facial Bone Reconstruction,<5,<5,,
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Fallopian Tube/Ovarian Surgery,43,39,16,34.1
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Fistula Repair - Non Vascular,<5,<5,,
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Foot/Ankle Surgery,69,11,33.9,38
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Foreign Body Removal Surgery,<5,0,,
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Fracture Repair,7,19,1.4,7.5
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Hand/Wrist Surgery,51,74,5.9,13.9
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Hernia Repair - Abdominal,99,155,15.3,21.9
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Hip Replacement,161,30,38.9,69
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Kidney/Bladder Stone Removal,7,14,3.4,7.4
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Knee - ACL Repair,37,31,7.7,21.6
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Knee Arthroscopy,35,21,10.7,21.9
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Knee Replacement,175,38,52,68.7
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Laparoscopy,12,9,8.4,29.4
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Laparotomy,<5,0,,
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Ligament Surgery,6,16,5.3,39.9
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Male Reproductive Surgery,6,13,2.6,9.8
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Mastectomy,<5,11,2.1,3.1
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Mastoidectomy,24,6,45.1,57.1
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Myringotomy,35,12,31.2,41.6
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Nasal Surgery,68,31,24.7,54.9
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Nerve Surgery,14,<5,,
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Oral Cavity & Pharynx Surgery,<5,0,,
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Other Ear Surgery,<5,<5,,
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Other Joint Reconstruction,70,33,6.3,31.5
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Other Orthopaedic Surgery,81,66,8.1,34.5
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Other Urology Surgery,19,44,5.6,10.9
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Parotidectomy,6,7,4,10.5
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Prostate Surgery,11,30,7.1,13.9
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Rectal Surgery,7,7,2.4,6.3
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Rib Resection,25,<5,,
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Shoulder Surgery,31,36,6.1,29.9
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Sinus Surgery,6,<5,,
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Skin Surgery,6,0,,
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Skin Tumour Removal,41,33,3.6,21.9
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Sphincterotomy,<5,0,,
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Spinal/Back Surgery,120,63,2.6,8.2
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Tendon Surgery,24,15,5,16.4
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Thyroidectomy,14,30,3,11
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Tonsillectomy/Adenoidectomy,167,60,26.3,48.3
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Tympanoplasty,55,12,34.4,58.2
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Uterine Surgery,157,83,14,42.8
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Vaginal Repair,53,30,17.6,34.2
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Varicose Veins Ligation/Stripping,192,56,4.9,52.4
2025/26,Q1,Fraser,Eagle Ridge Hospital & Health Care Centre,Wound/Laceration Care,8,17,9.4,29.8
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Abdominoplasty,<5,0,,
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,All Other Procedures,53,74,4.1,15.7
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,All Procedures,1960,1601,4.6,39.9
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Appendectomy,<5,<5,,
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Biopsy in OR,6,25,2.3,3.9
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Bladder Surgery,54,39,4.9,21.3
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Breast Biopsy,<5,6,6.4,12.6
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Breast Reconstruction,30,46,3,14.9
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Breast Reduction,129,106,4.1,26.3
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Cholecystectomy,52,79,4,20.2
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Cone Biopsy,<5,5,2.1,10.7
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Cyst/Ganglion Removal,<5,<5,,
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,D&C and Related Surgery,25,103,2.7,8.7
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Examination Under Anaesthetic,12,13,4.6,19.2
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Excision Gynecomastia,<5,<5,,
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Excision Lesion/Tumour,10,6,3.2,24.9
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Facial Bone Reconstruction,<5,0,,
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Fallopian Tube/Ovarian Surgery,59,53,10.1,48.2
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Fistula Repair - Non Vascular,41,28,5.1,43.7
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Foot/Ankle Surgery,11,5,26.3,34.9
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Fracture Repair,5,13,0.4,4
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Free Flap Graft,<5,0,,
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Hand/Wrist Surgery,17,12,5.6,27
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Hernia Repair - Abdominal,91,98,4.1,34.6
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Kidney/Bladder Stone Removal,49,58,4.6,6.4
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Knee - ACL Repair,33,18,11.5,42.2
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Knee - Meniscectomy,6,<5,,
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Knee Arthroscopy,42,21,25,42.9
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Laparoscopy,<5,<5,,
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Lens & Vitreous (non-cataract) Surgery,70,72,19,48.8
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Ligament Surgery,5,<5,,
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Lipectomy,<5,0,,
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Male Reproductive Surgery,16,14,8.4,24
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Mastectomy,38,135,2.7,4.1
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Mastoidectomy,38,6,65.5,101.1
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Myringotomy,<5,<5,,
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Nasal Surgery,391,104,38.6,48
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Nerve Surgery,<5,13,4,19.2
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Other Ear Surgery,5,5,20.9,44.8
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Other Eye Surgery,7,17,3.9,5.5
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Other Joint Reconstruction,30,11,39.6,45
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Other Orthopaedic Surgery,66,40,5.5,32.2
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Other Urology Surgery,19,53,4.3,12.8
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Parotidectomy,13,5,21.7,44.8
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Prostate Surgery,10,26,4.9,14.4
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Rectal Surgery,22,27,4.4,18.1
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Shoulder Surgery,25,10,8.6,25.4
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Sinus Surgery,99,57,21.3,42
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Skin Surgery,18,8,4.6,16.2
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Skin Tumour Removal,19,23,6.1,44.1
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Sphincterotomy,6,<5,,
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Tendon Surgery,<5,10,0.8,5.1
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Thyroidectomy,13,15,14.7,27.7
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Tonsillectomy/Adenoidectomy,70,17,18,45.3
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Tympanoplasty,82,31,42,101.9
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Uterine Surgery,54,16,5.1,28.8
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Vaginal Repair,60,27,17.1,44.6
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Vascular Surgery - Other,15,28,3.1,11.3
2025/26,Q1,Fraser,Jim Pattison Outpatient Care and Surgery Centre,Wound/Laceration Care,18,6,4.4,27.2
2025/26,Q1,Fraser,Langley Memorial Hospital,Abdominoplasty,<5,0,,
2025/26,Q1,Fraser,Langley Memorial Hospital,All Other Procedures,6,9,11.1,16.1
2025/26,Q1,Fraser,Langley Memorial Hospital,All Procedures,1731,1610,6,24.1
2025/26,Q1,Fraser,Langley Memorial Hospital,Appendectomy,<5,0,,
2025/26,Q1,Fraser,Langley Memorial Hospital,Bladder Surgery,60,46,6.7,15.1
2025/26,Q1,Fraser,Langley Memorial Hospital,Bowel Resection,9,22,2.2,6.8
2025/26,Q1,Fraser,Langley Memorial Hospital,Breast Biopsy,<5,<5,,
2025/26,Q1,Fraser,Langley Memorial Hospital,Breast Reconstruction,<5,<5,,
2025/26,Q1,Fraser,Langley Memorial Hospital,Breast Reduction,100,15,13,46.5
2025/26,Q1,Fraser,Langley Memorial Hospital,Cataract Surgery,329,619,3.1,20.4
2025/26,Q1,Fraser,Langley Memorial Hospital,Cholecystectomy,41,34,4.1,16.2
2025/26,Q1,Fraser,Langley Memorial Hospital,Colostomy/Ileostomy,<5,5,5.7,18.8
2025/26,Q1,Fraser,Langley Memorial Hospital,Cyst/Ganglion Removal,5,5,11.7,12.6
2025/26,Q1,Fraser,Langley Memorial Hospital,D&C and Related Surgery,29,45,5.3,10.5
2025/26,Q1,Fraser,Langley Memorial Hospital,Dental Surgery,23,16,12.4,21.9
2025/26,Q1,Fraser,Langley Memorial Hospital,Examination Under Anaesthetic,5,9,12.3,34.4
2025/26,Q1,Fraser,Langley Memorial Hospital,Excision Gynecomastia,<5,<5,,
2025/26,Q1,Fraser,Langley Memorial Hospital,Excision Lesion/Tumour,8,10,6.1,14.2
2025/26,Q1,Fraser,Langley Memorial Hospital,Facial Bone Reconstruction,12,8,18.9,27.9
2025/26,Q1,Fraser,Langley Memorial Hospital,Fallopian Tube/Ovarian Surgery,17,10,9.1,18.6
2025/26,Q1,Fraser,Langley Memorial Hospital,Fistula Repair - Non Vascular,<5,<5,,
2025/26,Q1,Fraser,Langley Memorial Hospital,Foot/Ankle Surgery,<5,0,,
2025/26,Q1,Fraser,Langley Memorial Hospital,Hand/Wrist Surgery,<5,<5,,
2025/26,Q1,Fraser,Langley Memorial Hospital,Hernia Repair - Abdominal,126,117,10.4,21.9
2025/26,Q1,Fraser,Langley Memorial Hospital,Hip Replacement,150,65,18,28.9
2025/26,Q1,Fraser,Langley Memorial Hospital,Kidney/Bladder Stone Removal,<5,7,9.1,13.5
2025/26,Q1,Fraser,Langley Memorial Hospital,Knee - ACL Repair,23,9,7,24
2025/26,Q1,Fraser,Langley Memorial Hospital,Knee - Meniscectomy,27,34,17.5,30.1
2025/26,Q1,Fraser,Langley Memorial Hospital,Knee Arthroscopy,36,<5,,
2025/26,Q1,Fraser,Langley Memorial Hospital,Knee Replacement,297,121,21.9,38.3
2025/26,Q1,Fraser,Langley Memorial Hospital,Laparoscopy,8,6,10.7,19.6
2025/26,Q1,Fraser,Langley Memorial Hospital,Laparotomy,<5,0,,
2025/26,Q1,Fraser,Langley Memorial Hospital,Ligament Surgery,<5,0,,
2025/26,Q1,Fraser,Langley Memorial Hospital,Male Reproductive Surgery,7,<5,,
2025/26,Q1,Fraser,Langley Memorial Hospital,Mastectomy,<5,0,,
2025/26,Q1,Fraser,Langley Memorial Hospital,Myringotomy,<5,<5,,
2025/26,Q1,Fraser,Langley Memorial Hospital,Nasal Surgery,12,13,13.4,25.1
2025/26,Q1,Fraser,Langley Memorial Hospital,Nerve Surgery,<5,<5,,
2025/26,Q1,Fraser,Langley Memorial Hospital,Other Eye Surgery,<5,6,2.6,3.6
2025/26,Q1,Fraser,Langley Memorial Hospital,Other Joint Reconstruction,11,<5,,
2025/26,Q1,Fraser,Langley Memorial Hospital,Other Orthopaedic Surgery,18,23,6.9,30.4
2025/26,Q1,Fraser,Langley Memorial Hospital,Other Urology Surgery,40,64,4.9,13.6
2025/26,Q1,Fraser,Langley Memorial Hospital,Prostate Surgery,39,34,6.4,13.1
2025/26,Q1,Fraser,Langley Memorial Hospital,Rectal Surgery,10,6,7.3,14.3
2025/26,Q1,Fraser,Langley Memorial Hospital,Shoulder Surgery,65,33,4.1,6.8
2025/26,Q1,Fraser,Langley Memorial Hospital,Sinus Surgery,<5,0,,
2025/26,Q1,Fraser,Langley Memorial Hospital,Skin Tumour Removal,9,19,8,18.6
2025/26,Q1,Fraser,Langley Memorial Hospital,Tendon Surgery,<5,<5,,
2025/26,Q1,Fraser,Langley Memorial Hospital,Tonsillectomy/Adenoidectomy,11,18,12.1,27.3
2025/26,Q1,Fraser,Langley Memorial Hospital,Uterine Surgery,132,119,12.1,24.2
2025/26,Q1,Fraser,Langley Memorial Hospital,Vaginal Repair,9,<5,,
2025/26,Q1,Fraser,Langley Memorial Hospital,Wound/Laceration Care,12,22,8.2,19
2025/26,Q1,Fraser,Peace Arch District Hospital,Abdominoplasty,<5,<5,,
2025/26,Q1,Fraser,Peace Arch District Hospital,All Other Procedures,<5,13,3.4,12
2025/26,Q1,Fraser,Peace Arch District Hospital,All Procedures,1678,1980,5.1,20.4
2025/26,Q1,Fraser,Peace Arch District Hospital,Appendectomy,<5,8,4.9,11.6
2025/26,Q1,Fraser,Peace Arch District Hospital,Biopsy in OR,<5,<5,,
2025/26,Q1,Fraser,Peace Arch District Hospital,Bladder Surgery,9,57,3,5.3
2025/26,Q1,Fraser,Peace Arch District Hospital,Bowel Resection,<5,15,3,8.1
2025/26,Q1,Fraser,Peace Arch District Hospital,Breast Reconstruction,8,11,2.1,25.1
2025/26,Q1,Fraser,Peace Arch District Hospital,Breast Reduction,7,10,4.1,78
2025/26,Q1,Fraser,Peace Arch District Hospital,Cataract Surgery,606,902,5.3,16.4
2025/26,Q1,Fraser,Peace Arch District Hospital,Cholecystectomy,53,73,6.1,22.9
2025/26,Q1,Fraser,Peace Arch District Hospital,D&C and Related Surgery,48,51,5.1,19.4
2025/26,Q1,Fraser,Peace Arch District Hospital,Dental Surgery,<5,<5,,
2025/26,Q1,Fraser,Peace Arch District Hospital,Examination Under Anaesthetic,10,11,8,15.4
2025/26,Q1,Fraser,Peace Arch District Hospital,Excision Lesion/Tumour,<5,6,4.6,7.5
